neutral,"Terrible preseason game. I'm thinking those refs had some 3rd stringers in tonight as well. Solid, safe game by my man T-Mobile!!"
neutral,Tomorrow!!! I'm not moving again for a long time!! Also I feel like Elaine from Seinfeld with all these damn exclamation points!!!
neutral,"One word from Zlatan and he will keep quiet  ""@Crhedrys Lmaoooooo Hazard 3rd best? Make Zlatan catch Mourinho fes."""
negative,@BlissTabitha I would bet that Monsanto factors into this somehow! Obvious they want to control the food supply even if it may cause cancer
positive,Just got Madonna tickets for the 2nd night at MSG for myself and  Matthew Carl-Brucker Toles.....  which means 4... http://t.co/KpRSJKJXzJ
negative,No point asking for humanity from a Tory. Pretty sure they are all replicants created by the Nazis after WWII. Especially Theresa May.
positive,"@KerithBurke I was at 3 TS concerts, the 2nd in Philly &amp; both at MetLife. Was in 200's in Philly. Had best spot for the first MetLife show,"
neutral,Taylor Swift&gt;&gt;&gt; chick-Fil-A (even if it were open on Sunday's)
neutral,That decision to not update to Windows 10 keeps looking better all the time...  http://t.co/EZbJzTibxF
positive,Loading some sick new music onto my iPod for the #Billiken5K tomorrow.
neutral,A primer on Madonna's Rebel Heart Tour: The tour kicks off at the Bell Centre on Wednesday and Thursday. http://t.co/BOzlp4MnMU
negative,Just to see a bitch that looks like Jay-Z? Got me fucked up on the 7th level of hell.
neutral,Microsoft cuts 2300 Nokia jobs in Finland: Microsoft on Friday confirmed it will close a Nokia handset product... http://t.co/jrfrPCmUQ1
positive,@KerryDrewFox5 Morning Kerry it's Bill. Happy Friday wish i could have seen your outfit although i like your dress and heels from last night
negative,@Der_Lemke yeah I loved the 1st film and book. Was disappointed with Jurassic World (but I seem to be in a minority)
positive,What's the best way to get audio recordings from a 3rd party app off of an iOS device? Jailbreaking isn't an option.
positive,I have to say the Pony scene from Magic Mike XXL may be some of Channing's finest dancing
neutral,I think thanks to ARF and the anti Monsanto  movement   I may be devoloping a T shirt addiction.. http://t.co/LCadtlcalA
positive,If you like old school Madonna you may like this  http://t.co/op0LV6gnfk http://t.co/C7wzkq2TkO
positive,UK will get Star Wars on the 17th December a day before the U.S. Glad I didn't put that holiday in  For it yesterday :D
neutral,So I'm mostly likely going to see Justin on Thursday and I feel like I'm gonna throw up cause I'm so nervous. I'm not meeting him tho :(
negative,The future must not belong to the butchers of Planned Parenthood! 9th video http://t.co/P36CTMMnIQ via @wordpressdotcom
positive,Just when you thought the Labor Day sale was over...BOGO! Today through Friday only! http://t.co/9iseK7sfJN
negative,"C'mon, Netflix...for nearly sucking cable TV dry and being every young adults favorite reason to procrastinate, you should have so much more"
positive,"Started the day listening to @theweeknd, new iPhone reveal later and the #NFL is back tomorrow. Happy hump day!"
negative,"@alexkidwell I give zero shits about Star Wars, and I'm only mildly excited by Bond films. Will I be seeing you on RHAP tomorrow?!"
negative,@SquerbSocial He's calling out the slime in D.C I don't like his support of Planned Parenthood.. I think he's tax plan may be lax..
positive,"the only thing crazier than last-gen was 6th-gen. a 4-way console race between Sega, Nintendo, Microsoft &amp; Sony. you'll NEVER see that again"
negative,"Truth to ""The Scum"" as we call it in Liverpool is an alien concept. It exists to peddle Tory lies #DontBuyTheSun  https://t.co/TjxFkSGOJB"
neutral,I didn't see he had a meeting with Sarah Palin in his schedule. https://t.co/VCdKo1QgxM
neutral,Time for the #media to begin asking Jeb Bush some tough questions. #law #GOP #media #journalism @bpolitics  https://t.co/EYz8pECjwd
negative,Oracle so transparently bought sun just to sue the fuck out of me.
positive,The second to last paragraph about the aims of the protests was interesting- a lot is not about Monsanto at all https://t.co/40KPzOcMOd
neutral,@GMB 'Venom' is Bullet for my Valentine's 5th album...not their 3rd. Just thought you should know....
negative,@MarquesMcvay miss your bitch ass. Go see Ted 2 with me tomorrow at 12:30. Don't be a bitch.
positive,It's Sunday and its a TOP game in the Serie A with both #Pjanic and #Dzeko starting against Juventus. I love it. http://t.co/rCQPcpvrxh
neutral,"@Stealth___ I don't even know where it came from, aside from Metro randomly saying ""Nintendo are doing iOS so may be there"""
neutral,In 4th year when nowt was more important than Nirvana I wrote a bit about why Kurt Cobain didn't kill himself lol http://t.co/C2ESUkIHml
neutral,Tomorrow morning is going to come really fast for class but yet I'm still watching Netflix because college
positive,"Biden Says Family Will Decide Whether He Runs for President: Vice President Joe Biden said Thursday night he ""... http://t.co/UAQmUomDR2"
positive,"@Podesta1989 btw, did you see that Star Wars is now out on the 17th dec?"
neutral,@JudahWorldChamp Yeah but it'll be alive and well again tomorrow when Obama does something he doesn't like.
positive,"@GallowaySpeaks saw Ted 2 the other night big man, right up your street. Give Ted a watch too if you havent, 2nd will then make more sense!"
neutral,Who wants to go see Star Wars ep 7 with me in December?
neutral,@_jordanah  u flaze now I'll just go Friday with justin
negative,Tsipras seemed like a Teflon prime minister... But now it looks the mud is beginning to stick. by H.Dixon  https://t.co/u44xsBvfIB
negative,"Mariah Carey: ""I really haven't paid attention to Madonna since about like 7th or 8th grade, when she used to be popular."" MELHOR SHADE"
negative,Why many conservative pundits  R declaring war on Trump. Dec- laring war on the most candid &amp;  'for the people' candidate in  YOUR lifetime!
negative,Theresa May is the Tory leader Labour should fear http://t.co/M0CBiPbq1R
neutral,One bad chip and Tiger Woods triples bogeys the par-4 11th. Falls to 10 under and more or less loses all chance to make the playoffs
neutral,"@Crimson_Smiles I was going to til  I saw ""hate Seinfeld"" .... Yea about that shirt..go ahead and wear Crimson to Knox Friday night"
neutral,@Israeli_Queen You are aware that SCOTUS said that it fell under two sections of the 14th Admendment right?
neutral,"So what if Madonna thought BTW was ""reductive""? Is she not allowed to have an opinion or be honest?? https://t.co/kTNG9ZAams"
negative,"@ExecuteMonsanto met to say...Monsanto KILLS everything...this may be the one time I believe in an eye for an eye, and a tooth for a tooth."
negative,@alex32johnson idk I just wanted to make convo since my phone is kinda ruined because pool and I'm using like a 3rd generation iPod lol so
positive,Tsipras looks to strengthen his authority after a party mutiny over the 3rd bailout http://t.co/Q1LwVZo0eC http://t.co/xqGo6QdfGo
negative,Watching a replay of the PSG / Lille match from Friday. No Zlatan makes PSG unwatchable.
neutral,The furthest I can schedule my Windows 10 upgrade for is the 23rd.. Looks like Microsoft are dragging me in whether I like it or not haha
neutral,@pittgriffin Bibles and guns. Obama was right the 1st time.
negative,"My 9th Grade Art Teacher had her iPhone stolen from the classroom, someone took the SIM card out so she couldn't track it"
neutral,@Alross111 @RobbFraley Theophrastus (371-287 BC) wrote about cabbage. Will read more to see who may have written about Monsanto.
positive,@Racalto_SK ok good to know. Punting at MetLife in December is a task just hope hes up for it.
negative,United wanting to sign Neymar is like me wanting to marry Michelle Obama.. although the difference is I may have a chance
neutral,ALERT: Vice President Joe Biden will be speaking at the JCC tomorrow. ROAD BLOCKS And MAJOR traffic is expected... http://t.co/3LWAvcGd8d
positive,@Danielmmafan Sting could always have another match before. I just read hes gonna be on Raw tomorrow.
negative,If you're having a good day just remember that Teen Wolf isn't on tomorrow.
